name,year,simple_average,simple_average,expedited_average,expedited_median,complex_average,complex_median
Armed Service Board of Contract Appeals,2010,1,1,NA,NA,NA,NA
Executive Office for Organized Crime Drug Enforcement Task Forces,2012,29.81,22.5,NA,NA,8,76.14
U. S. General Services  Administration,2011,36,29,NA,NA,NA,NA
United States Marshals Service,2009,14,5,9,8,110.7,89.5
Federal Aviation Administration,2008,27,6,NA,1646,1060,71
Transportation Security Administration,2013,7.4,6,1,1,288.44,231
Armed Service Board of Contract Appeals,2011,1,1,NA,NA,NA,NA
Southwestern Power Administration,2010,17.83,19,NA,NA,NA,NA
United States Citizenship and Immigration Services,2013,19.76,15.76,39.09,23.98,28.08,25.35
Bureau of Land Management,2009,3,3,NA,7,4,415
Corporation for National and Community Service,2008,9,7,NA,NA,NA,NA
United States Transportation Command,2013,7,12,NA,NA,60,33
"Grain Inspection, Packers and Stockyards Administration",2013,4.46,3,NA,NA,61.27,33
National Labor Relations Board,2013,6,4,NA,NA,1,6
Assistant General Counsel for Administration,2008,NA,NA,NA,NA,NA,NA
FOIA/Privacy Act Office,2011,37,27,11,11,101,93
Idaho Operations Office,2008,10,1,NA,NA,40,23
Centers for Disease Control and Prevention,2008,14.2,2,7.88,6,60.35,17
Denver Regional Office,2011,NA,NA,NA,NA,NA,NA
Department of Defense,2008,1,30.2508,NA,687,4277,1
Office of Small and Disadvantaged Business Utilization,2012,152.12,149,NA,NA,NA,NA
Naval Reactors,2008,45,20,NA,NA,NA,NA
Office of the Solicitor,2013,139,44,NA,NA,NA,NA
"FOIA Policy, Office of Executive Secretariat and Regulatory Affairs",2011,NA,NA,NA,NA,NA,NA
Region 10,2011,29.06,18,31,31,35,57.2
Maritime Administration,2012,242,160,NA,NA,38,149
Veterans Canteen Service VACO,2008,NA,NA,NA,NA,NA,NA
United States National Central Bureau -- INTERPOL,2009,4,2,3,2,5,14
Federal Transit Administration,2008,24,17,NA,NA,NA,NA
National Archives and Records Administration,2013,42.2,6,22,1,6136,718
National Cemetary Administration,2010,21.2,15,NA,NA,NA,NA
Office of Professional Responsibility,2011,26.19,19,NA,NA,50.84,15
Defense Intelligence Agency,2009,9,9,NA,NA,963,811
Indianapolis District Office,2010,5.76913,5,NA,NA,NA,NA
Postal Service,2010,21,7,NA,NA,495,45
Office of Disability Employment Policy,2009,NA,NA,NA,NA,NA,NA
Dallas District Office,2013,16.25,9,NA,NA,12,15
Atlanta District Office,2010,5.4618,1,NA,NA,NA,NA
"Office of Acquisition, Logistics, and Construction (formerly A&MM - Acquisition & Material Management)",2013,35.73,12,87,43,313,37.76
Economic Development Administration,2011,8.7,9,5,5,34,28
Civil Rights Division,2010,8.69,5,NA,NA,1,225.55
Federal Transit Administration,2013,23,20,NA,NA,NA,NA
National Institute of Standards and Technology,2008,22,33,NA,NA,NA,NA
Federal Communications Commission,2009,30.76,20,NA,NA,NA,NA
Naval Reactors Laboratory Field Office,2012,63.14,23,NA,NA,NA,NA
United States Department of Commerce,2011,34,22,16,20,62,41
Office of Information Policy,2012,27.82,15,18,18,2,309.19
National Geospatial Command,2011,288,281,NA,NA,NA,NA
Atlanta Regional Office,2011,11,14,NA,NA,NA,NA
Office of Legislative Affairs,2010,195.13,233,182,53,781,327.05
Office of the General Manager,2011,12,13,NA,NA,NA,NA
Office of Information Policy,2013,26.16,13,NA,NA,2,213.68
Peace Corps,2009,8,10,NA,NA,NA,NA
Richland Operations Office,2012,13.23,9,NA,NA,NA,NA
Agency for Healthcare Research and Quality,2012,8,6,NA,NA,7,40
United States Department of the Army,2009,1,28,NA,154,1920,1
National Technical Information Service,2010,4,4,5,5,NA,NA
Foreign Claims Settlement Commission,2012,17.2,12,NA,NA,NA,NA
Departmental Offices,2010,359.86,139,NA,NA,1,6.3
Committee for Purchase From People Who Are Blind or Severely Disabled,2008,NA,NA,NA,NA,16,10
United States Agency for International Development,2011,147.66,83,302,12,1399,307.42
Postal Regulatory Commission,2013,7,6,5,5,29,29
Postal Inspection Service,2013,7.88,6,NA,NA,218,59
Environmental Management Consolidated Business Center,2012,41.95,23,NA,NA,13,78.75
National Security Division,2008,13,5,37,14,136,84
Office of Legislative Affairs,2009,121,59,452,562,489,573
Food and Nutrition Consumer Service,2012,26.18,16,14,14,28.68,20
Pipeline and Hazardous Materials Safety Administration,2011,8,5,NA,118,540,54
Office of Inspector General for the USPS,2011,6.11,2,1,1,12.75,14
Agency for Healthcare Research and Quality,2011,13,9,NA,NA,47,35
Executive Office for Organized Crime Drug Enforcement Task Forces,2011,17.04,8.5,NA,NA,61.38,44
Administrative Conference of the United States,2010,20,20,NA,NA,20,20
Headquarters,2008,113,29,NA,NA,NA,NA
Region 8 - Denver,2011,19,18,NA,NA,52,52
United States Nuclear Regulatory Commission,2013,12,9,391,391,617,82
San Francisco District Office,2010,11.8959,13,NA,NA,NA,NA
United States Mint,2009,NA,NA,29,29,12.9,35
National Endowment for the Arts,2012,14,12,71,14,48,148
Surface Transportation Board,2012,5.9,3,NA,NA,NA,NA
Foreign Claims Settlement Commission,2010,15.37,6,NA,NA,NA,NA
Federal Maritime Commission,2009,168,64,NA,NA,NA,NA
Savannah River Office,2013,16.5,13.5,NA,NA,NA,NA
Transportation Security Administration,2011,128.27,91,NA,NA,5,5
United States Visitor and Immigrant Status Indicator Technology,2008,11.12,10,NA,NA,32,17
Office of Congressional and Intergovernmental Affairs,2010,1,1,NA,NA,NA,NA
Idaho Operations Office,2009,9,9,NA,NA,34,28
General Counsel,2011,50.16,51,NA,NA,7,7
Office of the Clerk of the Board,2010,17,8,NA,NA,NA,NA
Office of Human Resources Management,2012,213,187,NA,NA,NA,NA
Office of Administration,2010,143,143,NA,NA,NA,NA
Board of Governors of the Federal Reserve System,2009,4,2,87,2,344,33
Women's Bureau,2010,5,6,7,8,10.3,13.7
Pension Benefit Guaranty Corporation,2011,10,9,NA,NA,NA,NA
Farm Credit Administration,2009,8,7,NA,NA,NA,NA
Bureau of Industrty and Security,2011,19,16,NA,NA,101,101
Office of the Secretary,2010,56,19,NA,NA,NA,NA
Economic and Statistics Administration/Bureau of Economic Analysis,2008,17,7,NA,NA,NA,NA
OCR Regional Enforcement Office - Cleveland,2008,17,19,NA,NA,23,23
Justice Management Division,2008,16.2,11,NA,NA,73.2,42
Office of Surface Mining,2012,1,1,369,141,662,73
Office of Public Affairs,2009,5,8,NA,NA,NA,NA
FOIA/Privacy Act Office,2009,12,10,NA,NA,NA,NA
Glenn Research Center,2009,10,9,NA,NA,23,21
Defense Logistic Agency,2012,9,5,33,33,32,12
Office of the Assistant Secretary for Public & Intergovernmental Affairs,2012,20,20,NA,NA,NA,NA
U. S. General Services  Administration,2013,20.06,21,NA,2,400,63.45
Rural Development,2012,52.01,34,NA,NA,176.72,144
OCR Region X - Seattle,2013,4.33,2.5,NA,NA,27,10.76
Tennessee Valley Authority,2011,6.5,5,NA,NA,50,43
Employee Benefits Security Administration,2008,3.4,1,2.7,1,7.1,3
Department of Labor,2008,NA,NA,NA,NA,NA,NA
Region 9,2008,21.93,21,NA,NA,50.86,51
Court Services and Offender Supervision Agency,2013,14.56,10,NA,NA,1,1
Office of Dispute Resolution,2011,6.82,6,NA,NA,NA,NA
"Bureau of Alcohal, Tobacco, Firearms and Explosives",2008,13,11,NA,NA,NA,NA
Region 1,2009,13.54,12,NA,NA,22,58.94
Administration for Children and Families,2010,149,7,NA,NA,238,106
Departmental Management,2011,33,20,NA,NA,NA,NA
Office of Legislation and Congressional Affairs,2010,123,107,NA,NA,NA,NA
Immigration and Customs Enforcement,2011,14.05,7,18.5,17.5,34.08,20
Environment and Natural Resources Division,2008,52.49,28,NA,NA,218,95
Defense Information Service Agency,2009,66,14,NA,NA,109,40
Office of National Drug Control Policy,2010,11,10,NA,NA,NA,NA
Tennessee Valley Authority,2009,7,5,NA,NA,63,40
Office of Civil Rights & Civil Liberties,2010,36.33,22,NA,NA,465.67,509
Substance Abuse and Mental Health Services Administration,2013,132,100,NA,NA,199,168
National Aeronautics and Space Administration,2009,34,11,36,36,83,35
Office of The Federal Detention Trustee,2012,23.24,13,NA,NA,31.5,27.5
"Office of Planning, Evaluation, and Policy Development",2013,13.75,17,NA,NA,60,60
Langley Research Center,2013,3.37,2,NA,NA,120,19.75
Department of Defense Education Agency,2012,24,22,NA,NA,55,55
Office of Justice Programs,2013,18.45,11,NA,NA,708,82.19
National Highway Traffic Safety Administration,2008,15,22,NA,NA,NA,NA
Antitrust Division,2011,9.88,8,NA,NA,1,331.68
Defense Contract Audit Agency,2013,4,11,NA,NA,22,47
United States Small Business Administration,2008,13.7,6,NA,NA,NA,NA
Golden Field Office,2010,20.36,20.5,NA,NA,NA,NA
Department of Energy,2012,39.92,12,767,2,1574,115.39
Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,2009,129,22,NA,NA,103,96
Internal Revenue Service,2012,NA,NA,10,8,21.87,17
Defense Security Service,2008,25,30,NA,NA,NA,NA
Office of Federal Contractor Compliance Programs,2009,10.2,7,32,29.5,29.8,15
Bureau of Indian Affairs,2009,3,2,NA,NA,NA,689
St. Louis District Office,2011,15.0617,17,NA,NA,NA,NA
Department of Defense,2009,1,43,1507,1,1,187
Office of Assistant Secretary for Human Resources and Administration (006),2012,252.67,377,NA,NA,NA,NA
Office of the Comptroller of the Currency,2012,9,3,26,21,39,26
Office of Policy,2009,10.83,7,NA,NA,107.8,96
Office of Inspector General,2009,63,51,NA,NA,1,1006.32
Criminal Division,2008,830,107,NA,NA,33,69
Office of Small and Disadvantaged Business Utilization,2013,28.73,17,NA,NA,NA,NA
National Security Division,2009,36.5,16,NA,76,97,242.8
Department of Education,2012,35.71,19,91.8,81.5,108,63
Defense Intelligence Agency,2013,6,5,NA,NA,855,553
Office of the General Counsel,2008,13,9,NA,NA,NA,NA
Region 4,2008,14.34,14,20,20,32.01,30
National Geospatial Command,2010,221,26,NA,NA,5,417
Office of Intelligence and Analysis,2010,18.74,15,NA,NA,55.52,18
Federal Housing Finance Agency,2013,15.4,10,NA,NA,158,45.84
Maritime Administration,2008,160,21,NA,NA,NA,NA
OCR Region XII - Cleveland,2013,34.2,38,NA,NA,38.38,26
Office of General Council,2011,64,6,NA,NA,NA,NA
Public Affairs,2008,NA,NA,NA,NA,NA,NA
Occupational Safety and Health Review Commission,2011,12,11.5,NA,NA,NA,NA
Bureau of Engraving and Printing,2008,7.5,5,4.5,5,11,5
Department of Defense,2011,3760,19,NA,NA,1023,16
Federal Mine Safety and Health Review Commission,2010,5,2,NA,NA,17,14.5
Miami District Office,2010,13.479,1,NA,NA,NA,NA
New York District Office,2012,40.58,28,NA,NA,NA,NA
Region 1,2011,19.27,16,NA,NA,3,3
Transportation Security Administration,2012,8.56,7,NA,NA,200.79,158
Defense Commissary Agency,2012,80,9,NA,NA,NA,NA
Postal Service,2013,18.15,7,NA,24,1059,50.09
Office of Legal Counsel/Headquarters,2013,15.72,16,NA,NA,12.36,11
National Nuclear Security Administration,2011,21.24,12,268,268,134.19,58
Office of General Counsel (International Law Division):  (Appeals and Litigation Only),2012,NA,NA,NA,NA,NA,NA
Office of Intergovermental and Public Liaison,2011,33,27,46.33,52.5,94.68,79.5
St. Louis District Office,2013,11.34,5,NA,NA,NA,NA
Office of Disability Employment Policy,2012,1875,1875,NA,NA,1259.2,1503.5
Office of the Solicitor General,2008,15,30,NA,NA,5,10
Special Inspector General for Iraq Reconstruction,2010,12,12,NA,NA,43,43
Office of Science and Technology Policy,2009,44.8,2.5,230.5,230.5,173.6,76
Corporation for National and Community Service,2009,9.72,6,NA,NA,NA,NA
Office of the Deputy Assistant Secretary for Budget,2012,63,63,NA,NA,NA,NA
Committee for Purchase From People Who Are Blind or Severely Disabled,2011,8,7,NA,NA,10,9
Federal Mine Safety and Health Review Commission,2011,3.3,1,NA,NA,8,12.5
Carlsbad Field Office,2012,17.36,5.5,NA,NA,NA,NA
United States Citizenship and Immigration Services,2012,86.41,103,49.64,23,98.5,101
Defense Information Service Agency,2010,295,47,NA,NA,84,96
Office of Disability Employment Policy,2011,NA,NA,NA,NA,126,126
Federal Law Enforcement Training Center,2009,40.47,23,NA,NA,NA,NA
Foreign Agricultural Service,2013,7.27,7,2,2,65.5,58
Community Relations Service,2012,10.57,8,NA,NA,31,30
OCR Regional Enforcement Office - San Francisco,2008,8,6,NA,NA,10,6
Office of the Assistant Secretary for Public & Intergovernmental Affairs,2009,NA,NA,NA,NA,NA,NA
Federal Highway Administration,2013,25,15,NA,101,261,27
Bonneville Power Administration,2012,13.27,11,NA,NA,150,38.97
Field Office,2008,NA,NA,NA,NA,NA,NA
"Authority Member, Administrative Law Judges & Solicitor",2008,79,20,NA,NA,NA,NA
Office of Resolution Management,2008,NA,NA,NA,NA,5,4
United Sates Department of Health and Human Services,2012,35,8,11,60,80,42
United States Northern Command,2013,8,19,NA,NA,218,89
Research and Innovative Technology Administration,2008,20,12,NA,NA,160,160
FOIA/Privacy Act Office,2012,34,20,27,24,184,185
Defense Information Service Agency,2008,110,36,NA,NA,94,276
United States Central Command,2013,5,5,52,57,159,87
Office of Communications and Outreach,2011,86.5,86.5,NA,NA,298,340
Justice Management Division,2010,48.74,21.5,NA,NA,91.45,71
Federal Bureau of Investigation,2012,28.02,8,10,236.61,2,181.57
Tennessee Valley Authority,2010,7.8,6,NA,NA,48.8,35
Institute of Education Scinces,2011,36.73,36,NA,NA,66.69,71
Office of the Chief Financial Officer - Financial Systems Services,2009,331,331,NA,NA,117,117
Office of Information Policy,2011,53.9,19,60,60,34,255.84
Stennis Space Center,2012,5.5,4,NA,NA,4,4
Office of Elementary and Secondary Education,2012,35.6,29.5,NA,NA,119.63,61
United States Office of Personnel Management,2013,22,2,37,17,41,35
Officer of Special Education and Rehabilitative Services,2010,70,37,NA,NA,47,47
Head Quarters,2008,158,66,3,2,575,570
Office of the Pardon Attorney,2013,3.46,2,NA,NA,NA,NA
Department of Defense Education Agency,2008,24,24,NA,NA,90,82
Food and Drug Administration,2009,95,10,254,171,316,293
Savannah River Operations Office,2008,156,21,NA,NA,NA,NA
Office of The Federal Detention Trustee,2009,14,8,15,8,43,15
Centers for Disease Control and Prevention,2013,90.21,21,97,97,150,52
Rural Development,2010,45,13,NA,NA,14,112
Houston District Office,2012,9.61,10,NA,NA,NA,NA
Office of Policy,2010,12.8,13,NA,NA,96.29,104.5
United States Patent and Trademark Office,2008,11,9,20,20,NA,NA
Minority Business Development Agency,2008,14,13,NA,NA,NA,NA
Office of Labor Management Standards,2012,19.4,13,89,89,25.6,10
United States Mint,2013,9.3,6,NA,NA,5,5
Export-Import Bank of the United States,2012,49.68,22,NA,NA,28,223.58
National Appeals Division,2013,16.5,9,NA,NA,NA,NA
Institute of Education Scinces,2009,29,17,NA,NA,57,46
United States Strategic Command,2010,14,9,NA,NA,71,54
Office of the Assistant Secretary for Policy,2010,3,2,NA,NA,1,2
Region 6,2012,18.61,19,NA,NA,1186,44.49
Office for Civil Rights (Headquarters),2013,28.72,40.5,NA,NA,36.2,28
Office of Inspector General,2012,10,3,25,14,534,127
Transportation Security Administration,2010,31.58,16,NA,NA,115.6,54
Office of Legal Affairs,2012,7.4,5,9,6,23,21
Region 8,2010,11.9,9,9,3.5,20,74.83
National Institute of Standards and Technology,2012,19,3,NA,NA,NA,NA
Overseas Private Investment Corporation,2011,18.82,12,NA,NA,21,13.5
United States Department of the Air Force,2011,26,10,53,8,81,36
Naval Reactors,2012,NA,NA,NA,NA,NA,NA
Washington Field Office,2013,14.26,16,NA,NA,NA,NA
U.S. Office of Special Counsel,2010,10,1,NA,NA,7,6
Office of Congressional and Legislative Affairs,2012,33.33,30,NA,NA,27.4,24
Office of the Chief Information Officer,2012,NA,NA,NA,NA,52.33,52
Federal Communications Commission,2010,23.72,15,NA,NA,NA,NA
Women's Bureau,2009,18.8,20.5,NA,NA,23,21
Board of Veterans' Appeals,2013,3,3,NA,NA,17.27,15
"Authority Member, Administrative Law Judges & Solicitor",2009,146,18,NA,NA,NA,NA
Legal Services Corporation ,2010,156,77,NA,NA,101,77
Mine Safety and Health Administration,2008,NA,NA,236.6,250,15,34
Southwestern Power Administration,2008,11,1,NA,NA,NA,NA
Special Inspector General for Afghanistan Reconstruction,2011,5,5,NA,NA,NA,NA
OCR Region IX - San Francisco,2012,6.54,3,NA,NA,11.63,9
Professional Responsibility Advisory Office,2013,17.75,5,NA,NA,NA,NA
Inspector General,2010,10,13,NA,NA,NA,NA
Chicago District Office,2011,14.3398,17,NA,NA,NA,NA
National Security Division,2011,5.6,2,36,509.2,14,283.68
Department of the Treasury,2008,53.7,41,9.6,9,230.7,181
Inter-American Foundation,2013,16.36,17,NA,NA,NA,NA
Office of Inspector General for the USPS,2013,7.57,6,7,1,128,44.39
Office of Surface Mining,2008,NA,NA,NA,NA,NA,16.61
Glenn Research Center,2008,10,9,NA,NA,23,21
Office of Disability Employment Policy,2008,NA,NA,NA,NA,NA,NA
United States Pacific Command,2011,1,1,NA,NA,144,25
Office of the Secretary / Office of the Chief Information Officer,2011,11.5,10,8.3,8,50.6,29
Office of the Chief Financial Officer,2013,NA,NA,NA,NA,73.6,4
Office of Inspector General,2008,24.8,19.5,217,217,3,998.05
Office of the Pardon Attorney,2011,13.97,5,NA,NA,57,57
Office of Assistant Secretary for Health,2012,16,7,NA,NA,166,100
International Trade Administration,2013,4,1,NA,NA,149,74
Executive Office for United States Trustees,2012,7.4,5,5,5,40.1,28
Dryden Flight Research Center,2008,51,515,NA,NA,35,177
Office of Congressional and Legislative Affairs,2010,55,20,NA,NA,NA,NA
National Mediation Board,2012,30.32,11,NA,NA,NA,NA
Office of the Deputy Attorney General,2011,60.07,36,246.73,116,308.58,208
National Security Agency,2012,58,7,106,11,1185,892
Office of the Solicitor,2008,94,63,NA,NA,NA,NA
Office of the Chief Financial Officer,2009,NA,NA,NA,NA,45.7,18
Region 7,2012,14.2,15,NA,NA,2,37.91
United States Department of the Air Force,2009,11,6,15,12,97,35
Veterans Canteen Service VACO,2009,NA,NA,NA,NA,NA,NA
Foreign Claims Settlement Commission,2009,17,12,NA,NA,NA,NA
Office of the Deputy Assistant Secretary for Budget,2009,12,12,NA,NA,NA,NA
Office of Diversity and Inclusion (formerly DM&EEO - Office of Diversity Management and Equal Employment Opportunity),2011,7,7,NA,NA,NA,NA
United States Strategic Command,2013,5,3,NA,NA,26,68
AMTRAK (National Railroad Passenger Corporation),2013,4.17,1,60.33,55,49.23,13.5
Office of Vocational and Adult Education,2011,28.11,34,NA,NA,67.33,44
Risk Management Agency,2012,18.57,14,17.5,17.5,11.5,11.5
United States European Command,2010,106,56,109,1,442,555
Office of Public Affairs,2008,5,5,NA,NA,NA,NA
United States Agency for International Development,2013,74.83,17,543,19,1330,205.8
Southwestern Power Administration,2011,11.67,12,NA,NA,NA,NA
Office of Diversity and Inclusion (formerly DM&EEO - Office of Diversity Management and Equal Employment Opportunity),2010,NA,NA,NA,NA,NA,NA
United States Nuclear Regulatory Commission,2011,11,9,6,6,1,46
Social Security Administration,2008,30,16,NA,NA,60,44
Science and Technology Directorate,2008,14.79,11,NA,NA,100,93
Office of General Counsel (International Law Division):  (Appeals and Litigation Only),2010,20,20,NA,NA,NA,NA
Defense Technology and Research Agency,2013,13,9,NA,NA,459,119
Office of the Secretary of Defense/Joint Staff,2012,9.75,5,NA,NA,4097,447
National Indian Gaming Commision,2012,53.95,31,NA,NA,143,97
"TRICARE Management Agency, DoD Health Care System",2012,19,11,NA,NA,59,41
Southwestern Power Administration,2012,13.5,12.5,NA,NA,NA,NA
Office of Legal Counsel/Headquarters,2011,22.219,19,5,5,NA,NA
Region 5,2013,17.26,16,30,56,12,37.8
United States Special Operations Command,2013,15,16,NA,NA,308,94
Security & Law Enforcement,2008,NA,NA,NA,NA,5,20.5
National Oceanic and Atmospheric Administration,2010,9,9,80,35,67,42
Los Angeles District Office,2012,9.85,9,NA,NA,NA,NA
Department of Education,2008,111,40,17,12,39,21
Office of the Deputy Attorney General,2013,22.01,17,27,440.78,9,294.73
United States Pacific Command,2008,138,NA,11,NA,489,NA
United States Small Business Administration,2010,12,7,NA,NA,NA,NA
Philadelphia District Office,2012,25.73,27,NA,NA,NA,NA
Environmental Management Consolidated Business Center,2008,42,23,NA,NA,NA,NA
Executive Office for Immigration Review,2012,17.41,14,3,27,1,18.16
Goddard Space Flight Center,2009,28,11,NA,NA,82,51
National Security Division,2012,24.01,7,28,293.83,27,227.8
Broadcasting Board of Governors,2011,NA,NA,52,52,31,28
Region 6 - Fort Worth,2010,18,75,15,11,30,47
Office of Workers Compensation Programs,2009,12.14,10,10,10,25,26
Office of Congressional and Intergovernmental Affairs,2008,165,340,NA,NA,NA,NA
Foreign Claims Settlement Commission,2011,7.9,4,NA,NA,NA,NA
United States Office of Personnel Management,2011,44,34,NA,NA,41,42
National Science Foundation,2009,20,15,21,8,NA,NA
Stennis Space Center,2009,28,7,NA,NA,220,10
Assistant General Counsel for Administration,2010,NA,NA,NA,NA,NA,NA
U.S. Office of Special Counsel,2012,29,10,83,20,271,134
Council on Environmental Quality,2012,26,24,76,76,93,90
Office of the Solicitor General,2013,28.84,22,86,86,465.5,527.5
Region 1 - Boston,2010,49,93,NA,NA,296,350
Bureau of Reclamation,2013,4,3,25,25,94,17
Armed Forces Retirement Home,2011,32,32,NA,NA,49,49
Office of Elementary and Secondary Education,2009,62,16,NA,NA,47,37
Office of Operations Coordination,2008,6,1,NA,NA,18.45,14
Western Area Power Administration,2012,9.35,8,NA,NA,NA,NA
"Authority Member, Administrative Law Judges & Solicitor",2012,12,11,NA,NA,66,12
Dryden Flight Research Center,2010,28.48,15,6,12.5,244,244
Federal Motor Carrier Safety Administration,2013,48,51,130,3,299,59
Region 2 - New York,2013,18.11,19,4.5,3,22.36,23.5
Postal Service,2011,13.06,5,17,12,44.18,22
Federal Railroad Administration,2010,124,53,NA,NA,NA,NA
Immigration and Customs Enforcement,2012,24.34,19,12.29,8,42.83,26
Office of Management and Budget,2010,52,33,NA,NA,NA,NA
Region 5,2008,17.12,17,55,55,78.8,62.5
Natural Resources Conservation Service,2013,19.39,10.5,NA,NA,33,16
National Technical Information Service,2011,3.3,1,NA,NA,NA,NA
Washington Regional Office,2011,1,1,NA,NA,NA,NA
Recovery Accountability and Transparency Board,2011,3.3,1,NA,NA,11,9
Washington Regional Office,2010,14,20,NA,NA,NA,NA
"Authority Member, Administrative Law Judges & Solicitor",2013,10.64,10,NA,NA,18,37.33
Defense Contract Audit Agency,2011,5,14,NA,NA,15,21
Office of General Council,2010,75,28,NA,NA,NA,NA
OCR Regional Enforcement Office - Philadelphia,2009,49,17,NA,NA,156,115
Region 10 -Seattle,2013,15.74,14,NA,NA,46,28.5
Veterans Affairs Central Office,2008,NA,NA,NA,NA,NA,NA
Langley Research Center,2012,2.77,2,NA,NA,79,18.61
Office of the Chief Financial Officer - Contracts & Acquisitions Mgmt,2012,45,30.5,NA,NA,140.2,116.5
National Protection and Programs Directorate,2009,55.6,32.5,NA,NA,280.55,212
United States Parole Commission,2012,8.08,1.5,NA,NA,434,38.92
Office of Policy and Planning,2010,160,175,NA,NA,NA,NA
Federal Trade Commission,2010,8.23,4,NA,NA,54.76,22
Southwestern Power Administration,2013,10.57,10,NA,NA,NA,NA
United States International Trade Commission,2010,1,17,4,4,NA,NA
Office of Innovation and Improvement,2009,139,26,NA,NA,56,48
Ames Research Center,2013,12,16,NA,NA,126,26.9
Centers for Medicare & Medicaid Services,2008,25.9,18,239.3,137,297.6,98.7
National Nuclear Security Administration,2013,4.89,5,NA,NA,1556,121.78
Animal and Plant Health Inspection Service,2012,51.79,26,119,36,200.56,146
United States Department of the Air Force,2008,13,12,NA,NA,20,44
Glenn Research Center,2010,11.56,6,NA,NA,279,34.27
Washington Regional Office,2009,1,1,NA,NA,NA,NA
Occupational Safety and Health Review Commission,2010,10.7,10.5,NA,NA,21,26
National Archives and Records Administration,2010,17.1,5,NA,NA,471,160
Bureau of the Census,2012,18,19,18,20,23,18
United States Secret Service,2012,17.75,19,324.5,235.5,129.87,44
Office of Budget and Program Analysis,2011,0.83,1,NA,NA,0.332,7
Office of the Assistant Secretary for Public & Intergovernmental Affairs,2011,56,56,NA,NA,NA,NA
Office of Management,2011,16.5,11,NA,NA,NA,NA
Executive Office for United States Trustees,2011,11.19,7,NA,NA,28.17,23.5
Export-Import Bank of the United States,2011,32.26,22,12,12,104.42,69
Kennedy Space Center,2008,8,4,NA,NA,25,8
Office of Management,2010,29.78,22,NA,NA,NA,NA
Program Support Center,2009,NA,NA,NA,NA,NA,NA
Birmingham District Office,2012,19.63,19,NA,NA,NA,NA
Defense Security Service,2012,5,5,NA,NA,NA,NA
Office of Thrift Supervision,2009,NA,NA,NA,NA,30,9
National Endowment for the Humanities,2013,11.6,13,2,5.5,20,23
United States Department of Agriculture,2010,26.05,23,19.2,80.5,50.43,161
Bureau of the Census,2009,11,9,24,24,NA,NA
Federal Open Market Committee,2013,11.7,10,NA,NA,168.6,196
Federal Service Impasses Panel,2011,1,1,NA,NA,NA,NA
Office of Administration,2012,34.5,34.5,NA,NA,167.75,163.5
Committee for Purchase From People Who Are Blind or Severely Disabled,2009,11,8.5,NA,NA,45,34.5
Department of Defense Education Agency,2013,18,18,NA,NA,48,40
National Geospatial Command,2012,287,296,132,132,306,266
United States Southern Command,2011,15,11,NA,NA,102,93
Employee Benefits Security Administration,2009,6.2,2,6.5,12,19.45,12
Minority Business Development Agency,2012,10,9,NA,NA,59,59
Office of the Attorney General,2011,51.51,21,196.75,93.5,370.68,268
National Guard Bureau,2010,15,5,NA,NA,48,34
National Protection and Programs Directorate,2012,27.37,33,39,39,100.35,61
United States Department of Agriculture,2011,19.2235,10.5,3.6305,NA,56.8951,22.75
OCR Regional Enforcement Office - Chicago,2008,18,20,NA,NA,18,22
Kennedy Space Center,2009,8,4,NA,NA,25,8
Antitrust Division,2010,10.03,7,NA,NA,402.41,253
National Security Division,2010,5.55,4,312,34,789,178.26
Office of Information Policy,2010,46.54,18,317,317,31,119.67
Federal Service Impasses Panel,2012,4,1,NA,NA,NA,NA
Internal Revenue Service,2010,17.5,13,NA,NA,NA,8
OCR Regional Enforcement Office - Boston,2009,15,9,NA,NA,24,20
Federal Financial Institutions Council,2012,9.95,11,NA,NA,19,19
"Research, Education, and Economics",2013,9.53,10,NA,NA,18.63,19
AMTRAK (National Railroad Passenger Corporation),2011,30,6,127,127,90,28
National Mediation Board,2011,40.5,29.5,39.33,20,NA,NA
Department of Energy,2010,39.62,16,222,4,2305,121.3
Office of Human Resources Management,2009,3,3,NA,NA,NA,NA
Bureau of Reclamation,2010,18,9,11,11,24,17
San Francisco District Office,2013,27.82,23,NA,NA,NA,NA
United States Department of the Navy,2010,11,10,NA,NA,67,137
Institute of Museum and Library Services,2009,12.7,11,NA,NA,64.5,65
Office of the General Counsel,2013,22,18,NA,NA,NA,NA
Inspector General,2009,5,2,NA,NA,NA,NA
Assistant General Counsel for Administration,2013,NA,NA,NA,NA,NA,NA
Kennedy Space Center,2010,5.75,1,NA,NA,67,16.35
Assistant General Counsel for Administration,2012,NA,NA,NA,NA,NA,NA
National Energy Technology Laboratory,2011,16.68,13,NA,NA,NA,NA
Dallas District Office,2010,7.71501,4,1,1,NA,NA
Federal Election Commission,2011,44.4,27,14,17,309,144
Boston Regional Office,2013,3,3,NA,NA,NA,NA
Farm Service Agency,2013,2.3,4,4,4,15.5,9
Community Relations Service,2009,19,20,NA,NA,NA,NA
Office of Resolution Management,2010,19.75,14,NA,NA,NA,NA
"Grain Inspection, Packers and Stockyards Administration",2011,12,8,NA,NA,60,74
Office of Public Affairs,2010,6,6,NA,NA,NA,NA
Office of Assistant Secretary for Human Resources and Administration (006),2010,15.67,17,NA,NA,NA,NA
